english,vietnamese,part_of_speech
consensus,đồng thuận,noun
consent,đồng ý,noun
consequence,hậu quả,noun
conservative,bảo thủ,adjective
considerable,đáng kể,adjective
consistent,nhất quán,adjective
constant,liên tục,adjective
construct,xây dựng,verb
construction,sự xây dựng,noun
consult,tham khảo,verb
contact,liên hệ,noun
contemporary,đương đại,adjective
content,nội dung,noun
contest,cuộc thi,noun
context,bối cảnh,noun
continent,lục địa,noun
continue,tiếp diễn,verb
contract,hợp đồng,noun
contrast,đối lập,noun
contribute,đóng góp,verb
contribution,sự đóng góp,noun
controversial,gây tranh cãi,adjective
convention,hội nghị,noun
conventional,truyền thống,adjective
convert,chuyển đổi,verb
convince,thuyết phục,verb
cook,nấu ăn,verb
cookie,bánh quy,noun
cool,mát,adjective
cooperate,hợp tác,verb
cope,đối phó,verb
core,lõi,noun
corporate,doanh nghiệp,adjective
correct,sửa,verb
correspond,tương ứng,verb
costly,đắt đỏ,adjective
cotton,bông,noun
council,hội đồng,noun
counsel,tư vấn,noun
counter,quầy,noun
county,quận,noun
courage,dũng khí,noun
crack,vết nứt,noun
craft,thủ công,noun
crash,va chạm,noun
crazy,điên,adjective
cream,kem,noun
creative,sáng tạo,adjective
creature,sinh vật,noun
credit,tín dụng,noun
crew,phi hành đoàn,noun
critic,nhà phê bình,noun
critical,phê bình,adjective
criticism,sự chỉ trích,noun
criticize,chỉ trích,verb
crop,mùa màng,noun
crowd,đám đông,noun
crucial,quan trọng,adjective
cry,khóc,verb
cultural,văn hóa,adjective
curious,tò mò,adjective
currency,tiền tệ,noun
current,dòng điện,noun
curve,đường cong,noun
custom,phong tục,noun
cycle,chu kỳ,noun
daily,hàng ngày,adjective
damage,thiệt hại,noun
danger,nguy hiểm,noun
dangerous,nguy hiểm,adjective
dare,dám,verb
data,dữ kiện,noun
date,ngày tháng,noun
deal,thỏa thuận,verb
dealer,người buôn,noun
dear,thân mến,adjective
debate,tranh luận,verb
debt,nợ,noun
decade,thập kỷ,noun
declare,tuyên bố,verb
decline,suy giảm,verb
decorate,trang trí,verb
decrease,giảm,verb
deeply,sâu sắc,adverb
defeat,đánh bại,noun
defend,bảo vệ,verb
defendant,bị cáo,noun
define,định nghĩa,verb
definition,định nghĩa,noun
delay,trì hoãn,verb
deliver,giao hàng,verb
delivery,sự giao hàng,noun
demand,nhu cầu,noun
demonstrate,chứng minh,verb
deny,phủ nhận,verb
department,bộ phận,noun
depend,phụ thuộc,verb
dependent,phụ thuộc,adjective
deposit,tiền gửi,noun
depress,làm chán nản,verb
depth,độ sâu,noun
derive,bắt nguồn,verb
describe,mô tả,verb
desert,sa mạc,noun
deserve,xứng đáng,verb
design,thiết kế,verb
desire,mong muốn,noun
desk,bàn làm việc,noun
despite,mặc dù,preposition
destination,điểm đến,noun
destroy,phá hủy,verb
detail,chi tiết,verb
detect,phát hiện,verb
determine,xác định,verb
develop,phát triển,verb
device,thiết bị,noun
devote,dành cho,verb
dialogue,đối thoại,noun
diet,chế độ ăn,noun
differ,khác,verb
digital,kỹ thuật số,adjective
dimension,kích thước,noun
dinner,bữa tối,noun
direct,trực tiếp,adjective
directly,trực tiếp,adverb
dirt,bụi bẩn,noun
disappear,biến mất,verb
disaster,thảm họa,noun
discipline,kỷ luật,noun
discount,giảm giá,noun
discover,khám phá,verb
discovery,phát hiện,noun
discrimination,phân biệt đối xử,noun
display,trưng bày,verb
distance,khoảng cách,noun
distinct,riêng biệt,adjective
distribute,phân phối,verb
distribution,sự phân phối,noun
district,quận,noun
diverse,đa dạng,adjective
divide,chia,verb
division,sự phân chia,noun
divorce,ly hôn,noun
document,tài liệu,noun
domestic,trong nước,adjective
dominate,thống trị,verb
donate,quyên góp,verb
double,gấp đôi,adjective
doubt,nghi ngờ,noun
draft,bản nháp,noun
drag,kéo,verb
drama,kịch,noun
dramatic,kịch tính,adjective
dress,váy,noun
drill,khoan,verb
drink,uống,noun
drive,ổ đĩa,noun
driver,tài xế,noun
dry,khô,adjective
due,đến hạn,adjective
dust,bụi,noun
duty,nhiệm vụ,noun
earn,kiếm,verb
earth,trái đất,noun
ease,dễ dàng,noun
eastern,phía đông,adjective
editor,biên tập viên,noun
efficient,hiệu quả,adjective
efficiently,hiệu quả,adverb
elderly,người già,adjective
elect,bầu chọn,verb
electric,điện,adjective
electronic,điện tử,adjective
element,yếu tố,noun
eliminate,loại bỏ,verb
elite,tinh hoa,noun
else,khác,adverb
embrace,ôm,verb
emerge,xuất hiện,verb
emergency,khẩn cấp,noun
emission,sự phát thải,noun
emotion,cảm xúc,noun
emotional,xúc động,adjective
emphasis,sự nhấn mạnh,noun
emphasize,nhấn mạnh,verb
employ,tuyển dụng,verb
employee,nhân công,noun
employer,chủ lao động,noun
empty,trống rỗng,adjective
enable,cho phép,verb
encounter,gặp phải,verb
encourage,khuyến khích,verb
endless,vô tận,adjective
endorse,ủng hộ,verb
enemy,kẻ thù,noun
engage,tham gia,verb
engine,động cơ,noun
engineer,kỹ sư,noun
enhance,tăng cường,verb
enormous,khổng lồ,adjective
ensure,đảm bảo,verb
enter,đi vào,verb
enterprise,doanh nghiệp,noun
entertain,giải trí,verb
enthusiasm,sự nhiệt tình,noun
entirely,hoàn toàn,adverb
entrance,lối vào,noun
entry,mục nhập,noun
environmental,môi trường,adjective
episode,tập phim,noun
equal,bằng nhau,adjective
equally,bình đẳng,adverb
equipment,thiết bị,noun
error,lỗi,noun
escape,thoát,verb
especially,đặc biệt,adverb
essay,bài luận,noun
essential,cần thiết,adjective
establish,thiết lập,verb
estate,bất động sản,noun
estimate,ước tính,verb
ethical,đạo đức,adjective
evaluate,đánh giá,verb
evaluation,sự đánh giá,noun
even,thậm chí,adverb
eventually,cuối cùng,adverb
evolve,tiến hóa,verb
exact,chính xác,adjective
exactly,chính xác,adverb
examine,kiểm tra,verb
example,ví dụ,noun
exceed,vượt quá,verb
excellent,xuất sắc,adjective
exchange,trao đổi,noun
exciting,thú vị,adjective
exclude,loại trừ,verb
excuse,lý do,noun
executive,giám đốc điều hành,noun
exercise,tập thể dục,noun
exhibit,trưng bày,noun
existence,sự tồn tại,noun
expand,mở rộng,verb
expansion,sự mở rộng,noun
expectation,kỳ vọng,noun
expense,chi phí,noun
expensive,đắt tiền,adjective
experiment,thí nghiệm,noun
expertise,chuyên môn,noun
explain,giải thích,verb
explore,khám phá,verb
explosion,vụ nổ,noun
expose,phơi bày,verb
exposure,sự phơi bày,noun
express,diễn đạt,verb
expression,sự biểu đạt,noun
extend,mở rộng,verb
extension,phần mở rộng,noun
extensive,rộng lớn,adjective
extent,mức độ,noun
external,bên ngoài,adjective
extra,thêm,adjective
extraordinary,phi thường,adjective
extreme,cực đoan,adjective
extremely,cực kỳ,adverb
facility,cơ sở vật chất,noun
fair,công bằng,adjective
fairly,khá,adverb
faith,đức tin,noun
familiar,quen thuộc,adjective
famous,nổi tiếng,adjective
fancy,ưa thích,verb
fantastic,tuyệt vời,adjective
farm,nông trại,noun
farmer,nông dân,noun
fashion,thời trang,noun
fate,số phận,noun
fault,lỗi,noun
favor,ủng hộ,noun
favorite,yêu thích,adjective
feature,đặc điểm,noun
federal,liên bang,adjective
fee,lệ phí,noun
feed,cho ăn,verb
feedback,phản hồi,noun
female,nữ,adjective
fence,hàng rào,noun
festival,lễ hội,noun
fiction,tiểu thuyết,noun
fifteen,mười lăm,numeral
fifty,năm mươi,numeral
fight,cuộc chiến,noun
figure,số liệu,noun
file,tập tin,noun
finance,tài chính,noun
financial,tài chính,adjective
finding,phát hiện,noun
firm,kiên định,adjective
fitness,sức khỏe,noun
fix,sửa chữa,verb
flag,cờ,noun
flash,đèn nháy,noun
flat,căn hộ,noun
flexible,linh hoạt,adjective
flight,chuyến bay,noun
float,nổi,verb
flood,lũ lụt,noun
flow,dòng chảy,noun
fluid,chất lỏng,noun
fold,gấp,verb
folk,dân gian,noun
following,tiếp theo,adjective
forbid,cấm,verb
force,bắt buộc,verb
forecast,dự báo,noun
forehead,trán,noun
forest,rừng,noun
forever,mãi mãi,adverb
formal,trang trọng,adjective
format,định dạng,noun
formation,sự hình thành,noun
fortune,vận may,noun
foundation,nền tảng,noun
frame,khung,noun
framework,khuôn khổ,noun
freedom,tự do,noun
frequent,thường xuyên,adjective
frequently,thường xuyên,adverb
fresh,tươi,adjective
friendship,tình bạn,noun
frighten,làm sợ,verb
fruit,trái cây,noun
fuel,nhiên liệu,noun
fully,hoàn toàn,adverb
function,chức năng,noun
fundamental,cơ bản,adjective
funny,hài hước,adjective
further,xa hơn,adverb
furthermore,hơn nữa,adverb
gain,đạt được,noun
gap,khoảng cách,noun
garage,ga ra,noun
gather,tập hợp,verb
gear,bánh răng,noun
gene,gen,noun
general,general,noun
generate,tạo ra,verb
generation,thế hệ,noun
genius,thiên tài,noun
gentle,nhẹ nhàng,adjective
genuine,chân thật,adjective
gesture,cử chỉ,noun
giant,khổng lồ,noun
gift,món quà,noun
global,toàn cầu,adjective
globe,địa cầu,noun
gold,vàng,noun
golden,vàng,adjective
grade,điểm số,noun
gradually,dần dần,adverb
graduate,tốt nghiệp,verb
grain,hạt,noun
grant,cấp,verb
grass,cỏ,noun
grave,mộ,noun
gray,xám,adjective
greatly,rất nhiều,adverb
greet,chào,verb
grocery,tạp hóa,noun
guarantee,bảo đảm,noun
guard,bảo vệ,noun
guidance,hướng dẫn,noun
guide,hướng dẫn viên,noun
guilty,có tội,adjective
habit,thói quen,noun
habitat,môi trường sống,noun
handle,xử lý,verb
harm,tổn hại,noun
harmful,có hại,adjective
harvest,thu hoạch,noun
hat,mũ,noun
hate,ghét,verb
headline,tiêu đề,noun
heal,chữa lành,verb
healthy,khỏe mạnh,adjective
hearing,thính giác,noun
heaven,thiên đường,noun
heel,gót chân,noun
height,chiều cao,noun
helicopter,trực thăng,noun
hell,địa ngục,noun
hence,vì vậy,adverb
herb,thảo mộc,noun
hidden,ẩn,adjective
highlight,làm nổi bật,verb
highly,rất,adverb
highway,xa lộ,noun
hire,thuê,verb
historical,lịch sử,adjective
honest,trung thực,adjective
honor,danh dự,noun
horror,kinh dị,noun
host,chủ nhà,noun
household,hộ gia đình,noun
housing,nhà ở,noun
humor,hài hước,noun
hunt,săn,verb
hurry,vội vàng,verb
hurt,làm đau,verb
ideal,lý tưởng,adjective
identify,xác nhận,verb
identity,danh tính,noun
ignore,phớt lờ,verb
ill,bệnh,adjective
illegal,bất hợp pháp,adjective
illustrate,minh họa,verb
image,hình tượng,noun
immediate,ngay lập tức,adjective
immediately,ngay lập tức,adverb
immigrant,người nhập cư,noun
impact,ảnh hưởng,verb
implement,thực hiện,verb
implication,hàm ý,noun
imply,hàm ý,verb
import,nhập khẩu,noun
importance,tầm quan trọng,noun
impose,áp đặt,verb
impossible,không thể,adjective
impress,gây ấn tượng,verb
impression,ấn tượng,noun
impressive,ấn tượng,adjective
improvement,sự cải thiện,noun
incentive,động lực,noun
incident,sự cố,noun
include,bao gồm,verb
income,thu nhập,noun
increasingly,ngày càng,adverb
independence,sự độc lập,noun
independent,độc lập,adjective
index,chỉ số,noun
indicate,chỉ ra,verb
individual,cá nhân,adjective
indoor,trong nhà,adjective
industrial,công nghiệp,adjective
infant,trẻ sơ sinh,noun
infect,lây nhiễm,verb
inflation,lạm phát,noun
influence,ảnh hưởng,noun
inform,thông báo,verb
initial,ban đầu,adjective
initiative,sáng kiến,noun
injury,chấn thương,noun
inner,bên trong,adjective
innocent,vô tội,adjective
input,đầu vào,noun
inquiry,cuộc điều tra,noun
insight,hiểu biết sâu sắc,noun
insist,khăng khăng,verb
inspect,kiểm tra,verb
inspection,sự kiểm tra,noun
inspire,truyền cảm hứng,verb
install,cài đặt,verb
instance,ví dụ,noun
instead,thay vì,adverb
institution,tổ chức,noun
instruction,hướng dẫn,noun
instrument,nhạc cụ,noun
insurance,bảo hiểm,noun
intellectual,trí tuệ,adjective
intelligence,trí thông minh,noun
intend,dự định,verb
intense,mãnh liệt,adjective
intensity,cường độ,noun
intention,ý định,noun
interaction,sự tương tác,noun
interest,quan tâm,verb
internal,nội bộ,adjective
interpret,giải thích,verb
interpretation,sự diễn giải,noun
intervention,sự can thiệp,noun
interview,phỏng vấn,verb
introduce,giới thiệu,verb
introduction,sự giới thiệu,noun
invest,đầu tư,verb
investigate,điều tra,verb
investigation,cuộc điều tra,noun
investor,nhà đầu tư,noun
invisible,vô hình,adjective
involve,liên quan,verb
iron,sắt,noun
island,đảo,noun
issue,phát hành,verb
item,mặt hàng,noun
jacket,áo khoác,noun
jail,nhà tù,noun
jam,mứt,noun
jet,máy bay phản lực,noun
jewelry,trang sức,noun
joint,khớp,noun
journal,tạp chí,noun
journalist,nhà báo,noun
journey,hành trình,noun
joy,niềm vui,noun
judge,thẩm phán,noun
judgment,phán quyết,noun
juice,nước ép,noun
jump,nhảy,verb
junior,trẻ hơn,adjective
jury,bồi thẩm đoàn,noun
justice,công lý,noun
justify,biện minh,verb
keen,nhiệt tình,adjective
kick,đá,verb
kill,giết,verb
kilometer,ki lô mét,noun
kindness,lòng tốt,noun
king,vua,noun
kiss,hôn,verb
knee,đầu gối,noun
knife,dao,noun
knock,gõ,verb
lab,phòng thí nghiệm,noun
label,nhãn,noun
labor,lao động,noun
laboratory,phòng thí nghiệm,noun
lack,thiếu,verb
ladder,thang,noun
lady,quý bà,noun
lake,hồ,noun
lamp,đèn,noun
landscape,cảnh quan,noun
lane,làn đường,noun
laptop,máy tính xách tay,noun
largely,phần lớn,adverb
laser,laser,noun
later,sau này,adverb
latter,sau,adjective
launch,phóng,verb
lawful,hợp pháp,adjective
lawn,bãi cỏ,noun
layer,lớp,noun
league,giải đấu,noun
lean,dựa,verb
leap,nhảy vọt,verb
leather,da thuộc,noun
lecture,bài giảng,noun
legalize,hợp pháp hóa,verb
legend,huyền thoại,noun
leisure,giải trí,noun
lend,cho mượn,verb
length,chiều dài,noun
lesson,bài học,noun
liberal,tự do,adjective
library,thư viện,noun
license,giấy phép,noun
lie,nói dối,verb
lifestyle,lối sống,noun
lifetime,cả đời,noun
lift,nâng lên,verb
limit,giới hạn,noun
limited,hạn chế,adjective
link,liên kết,noun
liquid,chất lỏng,noun
literature,văn học,noun
load,tải,verb
loan,khoản vay,noun
location,vị trí,noun
lock,khóa,verb
logical,hợp lý,adjective
lonely,cô đơn,adjective
loose,lỏng,adjective
lord,lãnh chúa,noun
loud,ồn ào,adjective
lovely,đáng yêu,adjective
loyal,trung thành,adjective
luck,may mắn,noun
lucky,may mắn,adjective
lunch,bữa trưa,noun
luxury,xa xỉ,noun
mad,tức giận,adjective
magic,ma thuật,noun
mail,thư tín,noun
mainly,chủ yếu,adverb
maintain,duy trì,verb
maintenance,bảo trì,noun
majority,đa số,noun
male,nam,adjective
mall,trung tâm thương mại,noun
manner,cách thức,noun
manufacturer,nhà sản xuất,noun
map,bản đồ,noun
margin,lề,noun
marine,hải quân,adjective
mark,đánh dấu,verb
marketing,tiếp thị,noun
marry,kết hôn,verb
mass,khối lượng,noun
master,bậc thầy,noun
match,trận đấu,noun
mate,bạn đời,noun
maximum,tối đa,adjective
meal,bữa ăn,noun
meanwhile,trong khi đó,adverb
measure,thước đo,noun
mechanism,cơ chế,noun
media,truyền thông,noun
median,trung vị,noun
medicine,y học,noun
medium,trung bình,noun
melody,giai điệu,noun
melt,tan chảy,verb
membership,tư cách thành viên,noun
mental,tinh thần,adjective
mere,chỉ là,adjective
merely,chỉ,adverb
mess,bừa bộn,noun
metal,kim loại,noun
meter,mét,noun
methodology,phương pháp luận,noun
midnight,nửa đêm,noun
milestone,cột mốc,noun
military,quân sự,adjective
milk,sữa,noun
mill,cối xay,noun
mindset,tư duy,noun
mine,mỏ,noun
mineral,khoáng sản,noun
minimum,tối thiểu,adjective
minister,bộ trưởng,noun
minor,nhỏ,adjective
minority,thiểu số,noun
miracle,phép màu,noun
mirror,gương,noun
mislead,đánh lừa,verb
missile,tên lửa,noun
mistake,lỗi lầm,noun
mix,trộn,verb
mixture,hỗn hợp,noun
mobile,di động,adjective
mode,chế độ,noun
modify,sửa đổi,verb
monitor,giám sát,noun
mood,tâm trạng,noun
moral,đạo đức,noun
moreover,hơn nữa,adverb
mortgage,thế chấp,noun
mostly,chủ yếu,adverb
motion,chuyển động,noun
motivate,tạo động lực,verb
motivation,động lực,noun
motor,động cơ,noun
mountain,núi,noun
mouse,chuột,noun
multiple,nhiều,adjective
murder,giết người,noun
muscle,cơ bắp,noun
museum,bảo tàng,noun
mutual,lẫn nhau,adjective
mystery,bí ẩn,noun
myth,huyền thoại,noun
nail,móng tay,noun
naked,trần truồng,adjective
narrative,tường thuật,noun
narrow,hẹp,adjective
nasty,xấu xa,adjective
nationwide,toàn quốc,adjective
native,bản địa,adjective
naturally,tự nhiên,adverb
navy,hải quân,noun
nearby,gần đó,adjective
neat,gọn gàng,adjective
necessarily,nhất thiết,adverb
negative,tiêu cực,adjective
neglect,bỏ bê,verb
negotiate,đàm phán,verb
negotiation,cuộc đàm phán,noun
neighbor,hàng xóm,noun
neighborhood,khu phố,noun
nerve,dây thần kinh,noun
nervous,lo lắng,adjective
net,mạng,noun
nevertheless,tuy nhiên,adverb
newly,mới,adverb
nickel,niken,noun
noisy,ồn ào,adjective
nominate,đề cử,verb
nomination,đề cử,noun
nonetheless,tuy vậy,adverb
nonsense,vô nghĩa,noun
norm,chuẩn mực,noun
normally,bình thường,adverb
northern,phía bắc,adjective
notable,đáng chú ý,adjective
notion,khái niệm,noun
novel,tiểu thuyết,noun
nowadays,ngày nay,adverb
nuclear,hạt nhân,adjective
numerous,nhiều,adjective
nutrition,dinh dưỡng,noun
object,đồ vật,noun
objective,mục tiêu,noun
obligation,nghĩa vụ,noun
observation,sự quan sát,noun
observe,quan sát,verb
observer,người quan sát,noun
obtain,đạt được,verb
obvious,rõ ràng,adjective
obviously,rõ ràng,adverb
occasion,dịp,noun
occasionally,thỉnh thoảng,adverb
occupation,nghề nghiệp,noun
occupy,chiếm,verb
odd,lạ,adjective
offense,xúc phạm,noun
offensive,xúc phạm,adjective
official,chính thức,noun
offshore,ngoài khơi,adjective
ongoing,đang diễn ra,adjective
online,trực tuyến,adjective
onto,lên trên,preposition
opening,sự mở đầu,noun
operate,vận hành,verb
operator,người vận hành,noun
opinion,ý kiến,noun
opponent,đối thủ,noun
oppose,phản đối,verb
opposite,đối diện,adjective
optimistic,lạc quan,adjective
oral,bằng miệng,adjective
orange,cam,noun
orbit,quỹ đạo,noun
organ,cơ quan,noun
organic,hữu cơ,adjective
organize,tổ chức,verb
orientation,định hướng,noun
origin,nguồn gốc,noun
original,nguyên bản,adjective
originally,ban đầu,adverb
otherwise,nếu không,adverb
ought,nên,modal
ourselves,chính chúng tôi,pronoun
outcome,kết quả,noun
outdoor,ngoài trời,adjective
outer,bên ngoài,adjective
outline,dàn ý,noun
output,đầu ra,noun
overall,tổng thể,adjective
overcome,vượt qua,verb
overlook,bỏ qua,verb
overnight,qua đêm,adverb
overseas,hải ngoại,adjective
owe,nợ,verb
pace,tốc độ,noun
pack,đóng gói,verb
package,gói hàng,noun
painful,đau đớn,adjective
pale,nhợt nhạt,adjective
panel,bảng điều khiển,noun
panic,hoảng loạn,noun
paragraph,đoạn văn,noun
parallel,song song,adjective
parameter,tham số,noun
parental,thuộc cha mẹ,adjective
parking,bãi đỗ xe,noun
participant,người tham dự,noun
participate,tham gia,verb
particularly,đặc biệt,adverb
partly,một phần,adverb
passage,đoạn văn,noun
passenger,hành khách,noun
passion,đam mê,noun
patch,miếng vá,noun
path,con đường,noun
patient,kiên nhẫn,adjective
pause,tạm dừng,verb
peak,đỉnh,noun
peer,bạn đồng trang lứa,noun
penalty,hình phạt,noun
pension,lương hưu,noun
perceive,nhận thức,verb
percentage,phần trăm,noun
perception,nhận thức,noun
permanent,vĩnh viễn,adjective
permission,sự cho phép,noun
permit,giấy phép,noun
perspective,quan điểm,noun
persuade,thuyết phục,verb
phase,giai đoạn,noun
phenomenon,hiện tượng,noun
philosophy,triết học,noun
photograph,bức ảnh,noun
photographer,nhiếp ảnh gia,noun
phrase,cụm từ,noun
physical,thể chất,adjective
physician,bác sĩ,noun
physics,vật lý,noun
pile,đống,noun
pilot,phi công,noun
pink,hồng,adjective
pipe,ống,noun
pitch,sân,noun
plain,đơn giản,adjective
planet,hành tinh,noun
planning,lập kế hoạch,noun
plastic,nhựa,noun
plate,đĩa,noun
platform,nền tảng,noun
pleasant,dễ chịu,adjective
pleasure,niềm vui,noun
plenty,nhiều,noun
plot,cốt truyện,noun
plus,cộng,preposition
pocket,túi,noun
poem,bài thơ,noun
poet,nhà thơ,noun
poetry,thơ ca,noun
pointed,chỉ ra,adjective
pole,cực,noun
poll,cuộc thăm dò,noun
pollution,ô nhiễm,noun
pool,hồ bơi,noun
poorly,tệ,adverb
pop,nhạc pop,noun
population,dân cư,noun
port,cảng,noun
portion,phần,noun
portrait,chân dung,noun
pose,tạo dáng,verb
positive,tích cực,noun
possess,sở hữu,verb
possibility,khả năng,noun
post,bài đăng,noun
poster,áp phích,noun
potential,tiềm năng,noun
potentially,có thể,adverb
pour,rót,verb
poverty,nghèo đói,noun
powder,bột,noun
practical,thực tế,adjective
praise,khen ngợi,verb
pray,cầu nguyện,verb
precise,chính xác,adjective
precisely,chính xác,adverb
predict,dự đoán,verb
preference,sự ưa thích,noun
pregnant,mang thai,adjective
prejudice,định kiến,noun
preliminary,sơ bộ,adjective
premier,hàng đầu,adjective
premise,tiền đề,noun
premium,cao cấp,noun
preparation,sự chuẩn bị,noun
prescribe,kê đơn,verb
presence,sự hiện diện,noun
presentation,bài thuyết trình,noun
preserve,bảo tồn,verb
presumably,có lẽ,adverb
pretend,giả vờ,verb
previous,trước đó,adjective
previously,trước đây,adverb
pride,tự hào,noun
primarily,chủ yếu,adverb
primary,chính,adjective
prime,chính,adjective
principal,hiệu trưởng,noun
principle,nguyên tắc,noun
print,in,verb
prior,trước,adjective
priority,ưu tiên,noun
prison,nhà tù,noun
prisoner,tù nhân,noun
privacy,riêng tư,noun
procedure,thủ tục,noun
proceed,tiến hành,verb
proceeding,thủ tục,noun
proceeds,lợi nhuận,noun
profession,nghề nghiệp,noun
profile,hồ sơ,noun
profit,lợi nhuận,noun
programming,lập trình,noun
progress,tiến bộ,noun
progressive,tiến bộ,adjective
prohibit,cấm,verb
promise,lời hứa,noun
promote,thúc đẩy,verb
promotion,khuyến mãi,noun
prompt,nhanh chóng,adjective
proof,bằng chứng,noun
proper,đúng đắn,adjective
properly,đúng cách,adverb
property,tài sản,noun
proportion,tỷ lệ,noun
proposal,đề xuất,noun
propose,đề xuất,verb
prospect,triển vọng,noun
protective,bảo vệ,adjective
protein,chất đạm,noun
protest,phản đối,noun
proud,tự hào,adjective
prove,chứng minh,verb
provide,cung cấp,verb
province,tỉnh,noun
provision,sự cung cấp,noun
psychological,tâm lý,adjective
publicly,công khai,adverb
publish,xuất bản,verb
publisher,nhà xuất bản,noun
pull,kéo,verb
punishment,hình phạt,noun
purchase,mua,noun
pure,tinh khiết,adjective
purely,hoàn toàn,adverb
purple,tím,adjective
pursue,theo đuổi,verb
pursuit,sự theo đuổi,noun
qualify,đủ điều kiện,verb
quantity,số lượng,noun
quarter,quý,noun
queen,nữ hoàng,noun
query,truy vấn,noun
quest,nhiệm vụ,noun
queue,hàng đợi,noun
quit,bỏ,verb
quote,trích dẫn,verb
radar,ra đa,noun
radiation,bức xạ,noun
radical,cấp tiến,adjective
rail,đường sắt,noun
rain,mưa,noun
random,ngẫu nhiên,adjective
rapid,nhanh,adjective
rare,hiếm,adjective
rarely,hiếm khi,adverb
ratio,tỷ lệ,noun
raw,sống,adjective
reaction,phản ứng,noun
reader,người đọc,noun
reading,việc đọc,noun
realistic,thực tế,adjective
rear,phía sau,noun
reasonable,hợp lý,adjective
recall,hồi tưởng,verb
receipt,biên lai,noun
recipe,công thức,noun
recognition,sự công nhận,noun
recommend,đề xuất,verb
recommendation,khuyến nghị,noun
record,ghi lại,verb
recover,phục hồi,verb
recovery,sự phục hồi,noun
recruit,tuyển dụng,verb
reduction,sự giảm,noun
reference,tài liệu tham khảo,noun
reflect,phản chiếu,verb
reform,cải cách,noun
refugee,người tị nạn,noun
refuse,từ chối,verb
regard,coi là,verb
regarding,về việc,preposition
regardless,bất kể,adverb
regime,chế độ,noun
region,khu vực,noun
register,đăng ký,verb
regret,hối tiếc,noun
regular,thường xuyên,adjective
regularly,thường xuyên,adverb
regulate,điều chỉnh,verb
regulation,quy định,noun
reinforce,củng cố,verb
reject,từ chối,verb
relax,thư giãn,verb
release,phát hành,verb
relevant,liên quan,adjective
relief,sự nhẹ nhõm,noun
rely,dựa vào,verb
remark,nhận xét,noun
remarkable,đáng chú ý,adjective
remind,nhắc nhở,verb
remote,xa xôi,adjective
render,kết xuất,verb
renew,gia hạn,verb
rent,thuê,noun
repair,sửa chữa,verb
repeat,lặp lại,verb
replace,thay thế,verb
reply,trả lời,verb
representative,đại diện,noun
reputation,danh tiếng,noun
request,yêu cầu,noun
rescue,cứu hộ,verb
researcher,nhà nghiên cứu,noun
reserve,dự trữ,noun
reside,cư trú,verb
residence,nơi cư trú,noun
resident,cư dân,noun
resign,từ chức,verb
resist,chống lại,verb
resolution,nghị quyết,noun
resolve,giải quyết,verb
resort,khu nghỉ dưỡng,noun
resourceful,tháo vát,adjective
respect,tôn trọng,noun
respectively,lần lượt,adverb
respondent,người trả lời,noun
restore,khôi phục,verb
restrict,hạn chế,verb
restriction,sự hạn chế,noun
resume,sơ yếu lý lịch,noun
retail,bán lẻ,noun
retain,giữ lại,verb
retire,nghỉ hưu,verb
retirement,sự nghỉ hưu,noun
retreat,rút lui,noun
retrieve,truy xuất,verb
revenue,doanh thu,noun
review,đánh giá,noun
revise,sửa đổi,verb
revolution,cách mạng,noun
reward,phần thưởng,noun
rhythm,nhịp điệu,noun
rice,gạo,noun
rid,loại bỏ,verb
ride,đi xe,verb
ring,nhẫn,noun
rip,xé,verb
rise,sự tăng,noun
river,sông,noun
robot,rô bốt,noun
rocket,tên lửa,noun
romantic,lãng mạn,adjective
roof,mái nhà,noun
rough,gồ ghề,adjective
roughly,xấp xỉ,adverb
routine,thói quen,noun
row,hàng,noun
royal,hoàng gia,adjective
rub,chà,verb
rubber,cao su,noun
ruin,tàn tích,noun
rural,nông thôn,adjective
rush,vội vã,verb
sacrifice,hy sinh,noun
sadness,nỗi buồn,noun
salary,lương,noun
sale,giảm giá,noun
sample,mẫu,noun
satisfy,làm hài lòng,verb
sauce,nước sốt,noun
scale,quy mô,noun
scan,quét,verb
scare,làm sợ,verb
scared,sợ hãi,adjective
scenario,kịch bản,noun
schedule,lịch trình,noun
scheme,kế hoạch,noun
scholar,học giả,noun
scholarship,học bổng,noun
scientific,khoa học,adjective
scope,phạm vi,noun
score,ghi điểm,verb
scratch,cào,verb
screen,màn hình,noun
script,kịch bản,noun
seafood,hải sản,noun
seal,niêm phong,verb
search,tìm kiếm,noun
seasonal,theo mùa,adjective
secondly,thứ hai,adverb
secret,bí mật,noun
secretary,thư ký,noun
sector,lĩnh vực,noun
secure,an toàn,adjective
security,bảo mật,noun
segment,phân đoạn,noun
select,chọn,verb
selection,sự lựa chọn,noun
self,bản thân,noun
seminar,hội thảo,noun
senate,thượng viện,noun
senator,thượng nghị sĩ,noun
senior,người lớn tuổi,noun
sensitive,nhạy cảm,adjective
sentence,câu,noun
separate,tách biệt,adjective
sequence,trình tự,noun
seriously,nghiêm túc,adverb
session,phiên,noun
settle,giải quyết,verb
settlement,khu định cư,noun
severe,nghiêm trọng,adjective
shade,bóng râm,noun
shadow,bóng tối,noun
shallow,nông,adjective
shape,hình dạng,noun
sharp,sắc,adjective
sheet,tờ giấy,noun
shelter,nơi trú ẩn,noun
